,date,open,high,low,close,volume,oi
1238,2022-07-19 11:08:00+05:30,736.05,736.05,736.05,736.05,0,219250
1239,2022-07-19 11:09:00+05:30,736.05,741.8,736.05,741.8,50,219200
1240,2022-07-19 11:10:00+05:30,741.8,741.8,741.8,741.8,0,219200
1241,2022-07-19 11:11:00+05:30,741.8,741.8,741.8,741.8,0,219200
1242,2022-07-19 11:12:00+05:30,741.8,741.8,741.8,741.8,0,219200
1243,2022-07-19 11:13:00+05:30,741.8,746.95,741.8,746.95,50,219250
1244,2022-07-19 11:14:00+05:30,746.95,746.95,740.2,740.2,50,219250
1245,2022-07-19 11:15:00+05:30,740.2,740.2,740.0,740.0,50,219150
1246,2022-07-19 11:16:00+05:30,740.0,740.0,740.0,740.0,0,219150
1247,2022-07-19 11:17:00+05:30,740.0,740.0,728.55,728.55,50,219150
1248,2022-07-19 11:18:00+05:30,728.55,728.55,728.55,728.55,0,219150
1249,2022-07-19 11:19:00+05:30,728.55,728.55,728.55,728.55,0,219150
1250,2022-07-19 11:20:00+05:30,728.55,728.55,728.55,728.55,0,219150
1251,2022-07-19 11:21:00+05:30,728.55,728.55,728.55,728.55,0,219150
1252,2022-07-19 11:22:00+05:30,728.55,728.55,728.55,728.55,0,219150
1253,2022-07-19 11:23:00+05:30,728.55,728.55,728.55,728.55,0,219150
1254,2022-07-19 11:24:00+05:30,728.55,728.55,728.55,728.55,0,219150
1255,2022-07-19 11:25:00+05:30,728.55,728.55,728.55,728.55,0,219150
1256,2022-07-19 11:26:00+05:30,728.55,728.55,728.55,728.55,0,219150
1257,2022-07-19 11:27:00+05:30,728.55,728.55,728.55,728.55,50,219050
1258,2022-07-19 11:28:00+05:30,728.55,728.55,720.0,720.0,50,219050
1259,2022-07-19 11:29:00+05:30,720.0,720.0,714.0,714.0,200,219050
1260,2022-07-19 11:30:00+05:30,714.0,714.0,711.9,711.9,50,219000
1261,2022-07-19 11:31:00+05:30,711.9,711.9,711.9,711.9,0,219000
1262,2022-07-19 11:32:00+05:30,711.9,711.9,711.9,711.9,0,219000
1263,2022-07-19 11:33:00+05:30,711.9,711.9,711.9,711.9,0,219000
1264,2022-07-19 11:34:00+05:30,711.9,711.9,711.9,711.9,0,219000
1265,2022-07-19 11:35:00+05:30,711.9,711.9,711.9,711.9,0,219000
1266,2022-07-19 11:36:00+05:30,711.9,711.9,711.9,711.9,0,219000
1267,2022-07-19 11:37:00+05:30,711.9,711.9,711.9,711.9,0,219000
1268,2022-07-19 11:38:00+05:30,711.9,711.9,711.9,711.9,0,219000
1269,2022-07-19 11:39:00+05:30,711.9,711.9,711.9,711.9,0,219000
1270,2022-07-19 11:40:00+05:30,711.9,714.25,711.9,712.05,100,219000
1271,2022-07-19 11:41:00+05:30,712.05,712.05,712.05,712.05,0,219000
1272,2022-07-19 11:42:00+05:30,712.05,712.05,712.05,712.05,0,219000
1273,2022-07-19 11:43:00+05:30,712.05,712.05,700.45,700.45,100,218900
1274,2022-07-19 11:44:00+05:30,700.45,700.45,694.05,694.05,50,218900
1275,2022-07-19 11:45:00+05:30,694.05,694.05,685.0,685.0,500,218750
1276,2022-07-19 11:46:00+05:30,685.0,685.0,685.0,685.0,50,218750
1277,2022-07-19 11:47:00+05:30,685.0,698.95,685.0,698.95,50,218750
1278,2022-07-19 11:48:00+05:30,698.95,698.95,698.95,698.95,0,218750
1279,2022-07-19 11:49:00+05:30,698.95,698.95,698.95,698.95,0,218750
1280,2022-07-19 11:50:00+05:30,698.95,698.95,698.95,698.95,0,218750
1281,2022-07-19 11:51:00+05:30,698.95,698.95,698.95,698.95,0,218750
1282,2022-07-19 11:52:00+05:30,698.95,698.95,692.25,692.25,0,218400
1283,2022-07-19 11:53:00+05:30,692.25,692.25,692.25,692.25,100,218400
1284,2022-07-19 11:54:00+05:30,692.25,692.25,692.25,692.25,0,218400
1285,2022-07-19 11:55:00+05:30,692.25,692.25,692.25,692.25,0,218400
1286,2022-07-19 11:56:00+05:30,692.25,692.35,692.25,692.35,50,218400
1287,2022-07-19 11:57:00+05:30,692.35,692.35,692.35,692.35,0,218400
1288,2022-07-19 11:58:00+05:30,692.35,703.95,692.35,703.95,50,218400
1289,2022-07-19 11:59:00+05:30,703.95,707.05,703.95,707.05,50,218400
1290,2022-07-19 12:00:00+05:30,707.05,707.05,707.05,707.05,0,218400
1291,2022-07-19 12:01:00+05:30,707.05,707.05,705.25,705.25,50,218400
1292,2022-07-19 12:02:00+05:30,705.25,705.55,705.25,705.55,50,218450
1293,2022-07-19 12:03:00+05:30,705.55,705.55,705.55,705.55,0,218450
1294,2022-07-19 12:04:00+05:30,705.55,705.55,705.55,705.55,0,218450
1295,2022-07-19 12:05:00+05:30,705.55,705.55,705.55,705.55,0,218450
1296,2022-07-19 12:06:00+05:30,705.55,709.7,705.55,709.7,100,218400
1297,2022-07-19 12:07:00+05:30,709.7,709.7,709.7,709.7,0,218400
1298,2022-07-19 12:08:00+05:30,709.7,709.7,709.7,709.7,0,218400
1299,2022-07-19 12:09:00+05:30,709.7,709.7,709.7,709.7,0,218400
1300,2022-07-19 12:10:00+05:30,709.7,709.7,709.7,709.7,0,218400
1301,2022-07-19 12:11:00+05:30,709.7,709.7,709.7,709.7,0,218400
1302,2022-07-19 12:12:00+05:30,709.7,709.7,709.7,709.7,0,218400
1303,2022-07-19 12:13:00+05:30,709.7,709.7,709.7,709.7,0,218400
1304,2022-07-19 12:14:00+05:30,709.7,709.7,709.7,709.7,0,218400
1305,2022-07-19 12:15:00+05:30,709.7,709.7,709.7,709.7,0,218400
1306,2022-07-19 12:16:00+05:30,709.7,709.7,709.7,709.7,0,218400
1307,2022-07-19 12:17:00+05:30,734.75,734.75,734.75,734.75,100,218450
1308,2022-07-19 12:18:00+05:30,734.75,734.75,726.4,726.4,100,218450
1309,2022-07-19 12:19:00+05:30,726.4,726.4,726.4,726.4,0,218450
1310,2022-07-19 12:20:00+05:30,726.4,726.4,726.4,726.4,0,218450
1311,2022-07-19 12:21:00+05:30,726.4,726.4,726.4,726.4,0,218450
1312,2022-07-19 12:22:00+05:30,726.4,729.0,726.4,729.0,1050,218350
1313,2022-07-19 12:23:00+05:30,729.0,729.0,728.0,728.0,550,218350
1314,2022-07-19 12:24:00+05:30,728.0,729.85,728.0,729.85,50,217550
1315,2022-07-19 12:25:00+05:30,729.85,729.85,729.85,729.85,0,217550
1316,2022-07-19 12:26:00+05:30,729.85,729.85,714.5,714.5,250,217550
1317,2022-07-19 12:27:00+05:30,714.5,714.5,714.5,714.5,0,217550
1318,2022-07-19 12:28:00+05:30,714.5,714.5,714.5,714.5,0,217550
1319,2022-07-19 12:29:00+05:30,714.5,714.5,714.5,714.5,0,217550
1320,2022-07-19 12:30:00+05:30,714.5,726.0,714.5,726.0,50,217550
1321,2022-07-19 12:31:00+05:30,726.0,726.0,726.0,726.0,0,217550
1322,2022-07-19 12:32:00+05:30,726.0,733.0,726.0,733.0,100,217550
1323,2022-07-19 12:33:00+05:30,733.0,741.4,733.0,741.4,50,217400
1324,2022-07-19 12:34:00+05:30,741.4,741.4,741.4,741.4,0,217400
